id,prompt
1,"Купити смартфон в Україні з швидкою доставкою"
2,"Який смартфон краще взяти у 2025 році в Україні"
3,"Де купити смартфон Україна"
4,"Де купити смартфон у Києві"
5,"Порадь де купити недорогий смартфон із хорошою камерою"
6,"Порекомендуй кращі телефони до 15000 грн"
7,"Порадь кращий смартфони з хорошою батареєю в Україні"
8,"Порекомендуй нові смартфони 2025 року в Україні"
9,"Порекомендуй самый дешевый магазин телефонов в Украине"
10,"Порекомендуй найдешевший інтернет-магазин телефонів в Україні"
11,"Підбери топ-10 смартфонів у співвідношенні ціна/якість"
12,"Топ бюджетних смартфонів 2025"
13,"Який недорогий і хороший смартфон купити в Україні"
14,"Де купити захищений смартфон"
15,"Порадь, де вигідно купити iPhone"
16,"Де дешевше купити iPhone в Україні"
17,"Де купити iPhone 16"
18,"Де купити iPhone 17"
19,"Підбери Топ смартфонів Xiaomi до 10000 грн"
20,"Де купити Xiaomi зі знижкою"
21,"Порекомендуй кращий бюджетний Xiaomi 2025"
22,"Підбери телефон із камерою як у айфона в Україні"
23,"Подбери телефон с хорошей камерой в Украине"
24,"Де купити смартфон для дитини"
25,"Порадь топ-5 телефонів для дитини в Україні"
26,"Де купити смартфон для пенсіонерів з великими кнопками"
27,"Порекомендуй телефон для пенсіонерів в Україні"
28,"Добери телефон для бабусі"
29,"Порадь який смартфон взяти, щоб не лагав"
30,"Знайди смартфон з найкращим екраном в Україні"
31,"Який телефон купити для батьків в Україні"
32,"Зроби добірку смартфонів зі знижками в Україні"
33,"Порадь 3 найвдаліші моделі телефона 2025"
34,"Запропонуй 3 моделі, що виглядають стильно"
35,"Добери 3-5 телефонів самсунг за 15–20 тис. грн"
36,"Порівняй ціни й гарантію в офіційних та сірих магазинах на айфон"
37,"Добери 3-5 телефонів Xiaomi за 15–20 тис. грн"
38,"Порекомендуй Samsung чи Xiaomi до 15 000 грн"
39,"Порадь смартфон для підлітка-геймера"
40,"Склади топ 5 ігрових телефонів 2025 в Україні"
41,"Який телефон купити  для тіктока та рілс"
42,"Де купити старі моделі телефонів 90‑х "
43,"Склади список з 5 смартфонів, що рідше ламаються"
44,"Порадь, де краще купити смартфон у Києві онлайн чи офлайн"
45,"Порадь смартфон для двох номерів"
46,"Хочу телефон з камерою “як у айфона”, але дешевше дай найкращі пропозиції в Україні"
47,"Склади короткий список 5–7 найактуальніших флагманів 2025 року доступних в Україні"
48,"Підбери 3–5 смартфонів з оптичною стабілізацією, які зараз продаються в українських магазинах"
49,"Порекомендуй 5 найінноваційніших камерофонів"
50,"Порадь актуальні пропозиції смартфонів для ugc кріейтора"